,ear1,ear2,ear3,ear4,ear5,id,piscando,pontos_olhos 1,pontos_olhos 2,pontos_olhos 3,pontos_olhos 4,pontos_olhos 5
0,3.6854261416074983,4.171558372273125,4.139349079297406,3.708103381463979,4.037777559457218,erik.csv,False,"[(-14, -2), (-10, -3), (-5, -3), (1, -3), (6, -2), (9, -1), (10, 0), (10, 3), (7, 4), (-1, 6), (-1, 5), (-6, 4), (-11, 2), (-15, 1), (-7, -1), (0, 0), (6, 1), (-16, 0), (4, 5)]","[(-14, -2), (-10, -3), (-4, -4), (1, -3), (6, -2), (10, -1), (11, 0), (10, 3), (8, 4), (0, 6), (0, 5), (-6, 3), (-11, 2), (-14, 0), (-6, -1), (0, 0), (7, 1), (-16, -1), (5, 5)]","[(-13, -2), (-9, -4), (-4, -4), (2, -4), (7, -2), (10, -1), (12, 0), (11, 2), (8, 3), (0, 6), (0, 4), (-5, 3), (-10, 1), (-13, 0), (-6, -1), (0, 0), (7, 1), (-15, -1), (5, 4)]","[(-13, -2), (-9, -3), (-4, -3), (2, -3), (7, -2), (10, 0), (11, 1), (10, 3), (8, 4), (0, 6), (0, 5), (-5, 4), (-10, 2), (-13, 0), (-6, -1), (0, 0), (7, 1), (-15, -1), (5, 5)]","[(-14, -2), (-10, -3), (-4, -3), (1, -3), (6, -2), (9, 0), (11, 1), (10, 3), (8, 4), (-1, 7), (-1, 5), (-6, 4), (-11, 2), (-14, 1), (-7, -1), (0, 0), (6, 1), (-16, 0), (4, 5)]"
1,3.703576995776381,3.703576995776381,3.724913977521495,3.4709638951524413,3.4709638951524413,erik.csv,False,"[(-14, -2), (-10, -4), (-4, -4), (1, -3), (6, -2), (9, -1), (11, 0), (10, 3), (8, 4), (-1, 6), (-1, 5), (-6, 3), (-11, 1), (-14, 0), (-7, -1), (0, 0), (6, 1), (-16, -1), (5, 5)]","[(-12, -1), (-8, -2), (-3, -3), (3, -2), (7, 0), (10, 1), (12, 2), (11, 5), (9, 5), (-1, 7), (1, 6), (-4, 5), (-9, 3), (-12, 2), (-6, -1), (0, 0), (6, 1), (-14, 1), (6, 6)]","[(-12, -1), (-8, -3), (-2, -3), (3, -3), (8, -1), (11, 0), (13, 1), (12, 4), (10, 5), (0, 6), (1, 6), (-4, 5), (-9, 3), (-12, 2), (-6, -1), (0, 0), (7, 1), (-14, 1), (6, 6)]","[(-13, -1), (-9, -3), (-3, -4), (3, -3), (8, -2), (11, 0), (12, 1), (11, 4), (9, 5), (-1, 6), (1, 6), (-5, 5), (-10, 3), (-13, 2), (-7, -1), (0, 0), (6, 1), (-15, 1), (6, 6)]","[(-13, -1), (-9, -3), (-3, -5), (3, -4), (9, -3), (12, -1), (13, 1), (12, 4), (10, 5), (-1, 6), (1, 6), (-4, 5), (-10, 3), (-13, 2), (-7, -1), (0, 0), (7, 1), (-15, 1), (7, 6)]"
2,3.066471737738933,3.1554504059103325,3.4709638951524413,3.066471737738933,3.3537665895907254,erik.csv,False,"[(-13, -1), (-9, -3), (-2, -5), (4, -4), (9, -3), (12, -1), (14, 1), (13, 4), (10, 5), (-1, 6), (1, 6), (-4, 5), (-10, 3), (-14, 2), (-7, -1), (0, 0), (7, 1), (-15, 1), (7, 6)]","[(-13, -1), (-8, -4), (-2, -5), (4, -5), (9, -3), (12, -1), (14, 0), (12, 4), (10, 5), (-1, 6), (1, 6), (-4, 5), (-10, 3), (-13, 2), (-7, -1), (0, 0), (7, 1), (-15, 1), (7, 6)]","[(-13, -1), (-9, -3), (-3, -5), (3, -5), (9, -3), (12, -1), (14, 1), (12, 4), (10, 5), (-1, 6), (1, 6), (-5, 5), (-10, 3), (-14, 2), (-7, -1), (0, 0), (7, 1), (-15, 1), (6, 6)]","[(-13, -2), (-9, -4), (-3, -5), (3, -5), (9, -3), (12, -1), (13, 0), (12, 4), (10, 5), (-1, 6), (1, 6), (-5, 4), (-10, 2), (-13, 1), (-7, -1), (0, 0), (7, 1), (-15, 0), (6, 6)]","[(-13, -2), (-9, -3), (-3, -4), (3, -4), (8, -2), (11, -1), (13, 1), (12, 4), (9, 5), (-1, 6), (1, 5), (-5, 4), (-10, 2), (-13, 1), (-7, -1), (0, 0), (7, 1), (-15, 0), (6, 5)]"
3,3.4709638951524413,3.7478341947412512,3.3537665895907254,3.726365921841667,3.356349919998702,erik.csv,False,"[(-13, -2), (-9, -4), (-3, -5), (3, -4), (8, -3), (11, -1), (13, 1), (12, 4), (9, 5), (-1, 6), (1, 5), (-5, 4), (-10, 2), (-14, 1), (-7, -1), (0, 0), (7, 1), (-15, 0), (6, 5)]","[(-14, -1), (-9, -3), (-3, -4), (3, -4), (8, -2), (11, -1), (13, 1), (12, 4), (9, 5), (-1, 7), (0, 6), (-5, 5), (-10, 3), (-14, 2), (-7, -1), (0, 0), (7, 1), (-16, 0), (6, 6)]","[(-14, -1), (-10, -3), (-4, -4), (2, -4), (8, -2), (11, 0), (13, 1), (12, 4), (9, 5), (-1, 7), (0, 6), (-5, 5), (-11, 3), (-14, 2), (-7, -1), (0, 0), (7, 2), (-16, 1), (6, 6)]","[(-13, -2), (-9, -4), (-3, -5), (3, -4), (8, -3), (11, -1), (13, 0), (12, 3), (10, 4), (0, 6), (1, 5), (-5, 4), (-10, 2), (-14, 1), (-7, -2), (0, 0), (8, 1), (-16, 0), (6, 5)]","[(-13, -1), (-9, -3), (-3, -4), (3, -4), (8, -2), (11, 0), (13, 1), (12, 4), (9, 5), (-1, 6), (1, 6), (-5, 4), (-10, 3), (-14, 1), (-7, -1), (0, 0), (7, 1), (-16, 0), (6, 6)]"
4,3.356349919998702,3.3730882498616137,3.3537665895907254,3.452190081318282,3.452190081318282,erik.csv,False,"[(-13, -1), (-9, -3), (-3, -4), (3, -4), (8, -3), (11, -1), (13, 0), (12, 3), (9, 4), (-1, 6), (1, 5), (-5, 4), (-10, 2), (-14, 1), (-7, -1), (0, 0), (7, 1), (-15, 0), (6, 5)]","[(-13, -1), (-9, -3), (-3, -4), (3, -4), (8, -2), (11, -1), (13, 0), (12, 3), (10, 4), (-1, 6), (1, 5), (-5, 4), (-10, 2), (-13, 1), (-7, -1), (0, 0), (7, 1), (-15, 0), (6, 5)]","[(-13, -1), (-9, -3), (-3, -4), (3, -4), (8, -2), (11, -1), (13, 0), (12, 3), (10, 5), (-1, 6), (1, 6), (-4, 4), (-10, 3), (-13, 1), (-7, -1), (0, 0), (7, 1), (-15, 0), (6, 6)]","[(-13, -2), (-9, -3), (-3, -4), (2, -4), (8, -2), (11, -1), (12, 0), (12, 3), (9, 4), (-1, 6), (1, 5), (-5, 4), (-10, 2), (-13, 1), (-7, -1), (0, 0), (7, 1), (-15, 0), (6, 5)]","[(-13, -2), (-9, -4), (-3, -5), (2, -4), (8, -3), (11, -1), (12, 0), (12, 3), (9, 4), (-1, 6), (1, 5), (-5, 4), (-10, 2), (-13, 1), (-7, -1), (0, 0), (7, 1), (-15, 0), (6, 5)]"
5,3.452190081318282,3.708103381463979,4.069196499462494,4.579745322444793,4.037777559457218,erik.csv,False,"[(-13, -2), (-9, -4), (-4, -5), (2, -4), (7, -3), (10, -1), (12, 0), (11, 3), (9, 4), (-1, 6), (0, 5), (-5, 4), (-10, 2), (-14, 1), (-7, -1), (0, 0), (6, 1), (-15, 0), (6, 5)]","[(-13, -1), (-9, -3), (-3, -4), (2, -4), (7, -3), (10, -1), (12, 0), (11, 3), (9, 4), (-1, 6), (1, 5), (-5, 4), (-10, 2), (-13, 1), (-7, -1), (0, 0), (6, 1), (-15, 0), (6, 5)]","[(-13, -2), (-9, -3), (-4, -3), (1, -3), (6, -2), (9, -1), (11, 0), (10, 3), (8, 4), (-1, 7), (0, 5), (-5, 4), (-10, 2), (-13, 1), (-7, 0), (0, 0), (7, 1), (-15, 0), (5, 5)]","[(-13, -2), (-9, -3), (-4, -3), (1, -2), (6, -1), (9, 0), (11, 1), (10, 3), (8, 4), (0, 6), (0, 5), (-5, 4), (-10, 2), (-13, 0), (-6, 0), (0, 0), (6, 1), (-15, -1), (5, 5)]","[(-13, -2), (-9, -3), (-4, -3), (1, -2), (6, -1), (9, 0), (10, 0), (10, 2), (8, 3), (-1, 6), (0, 4), (-5, 3), (-10, 1), (-13, 0), (-6, -1), (0, 0), (6, 1), (-15, -1), (5, 4)]"
6,4.7427457647142335,4.719502050101688,5.648754431773423,5.726658982649418,5.75326662277356,erik.csv,False,"[(-13, -2), (-9, -3), (-4, -3), (1, -2), (6, -1), (9, 0), (11, 0), (10, 3), (8, 4), (0, 6), (0, 4), (-5, 3), (-10, 1), (-13, 0), (-6, -1), (0, 0), (6, 1), (-15, -1), (5, 4)]","[(-14, -3), (-10, -4), (-5, -4), (0, -3), (5, -2), (8, -1), (10, 0), (9, 2), (7, 3), (-1, 5), (-1, 4), (-6, 2), (-11, 0), (-14, -1), (-7, -1), (0, 0), (6, 1), (-16, -2), (4, 4)]","[(-13, -2), (-9, -3), (-4, -3), (1, -2), (6, -1), (9, 0), (11, 1), (10, 3), (8, 4), (0, 6), (0, 4), (-5, 3), (-10, 1), (-13, 0), (-6, -1), (0, 0), (7, 1), (-14, -1), (5, 5)]","[(-14, -2), (-10, -3), (-5, -3), (1, -2), (6, -1), (9, 0), (10, 1), (10, 3), (7, 4), (-1, 6), (-1, 4), (-6, 3), (-11, 1), (-14, 0), (-6, -1), (0, 0), (6, 1), (-15, -1), (4, 4)]","[(-13, -2), (-9, -3), (-4, -3), (1, -2), (6, -1), (9, 0), (11, 1), (10, 3), (8, 4), (-1, 6), (0, 4), (-5, 3), (-10, 1), (-13, 0), (-6, -1), (0, 0), (6, 1), (-14, -1), (5, 4)]"
7,5.072212799475704,5.021241700984539,5.6750001058262445,5.6750001058262445,5.705862078367145,erik.csv,False,"[(-13, -3), (-9, -4), (-4, -4), (1, -3), (6, -2), (9, -1), (11, 0), (10, 2), (8, 3), (-1, 5), (0, 4), (-5, 2), (-10, 0), (-13, -1), (-6, -2), (0, 0), (6, 0), (-14, -2), (5, 4)]","[(-13, -2), (-9, -3), (-4, -3), (2, -2), (6, -1), (9, 0), (11, 1), (10, 3), (8, 4), (-1, 6), (0, 4), (-5, 3), (-10, 1), (-13, 0), (-6, -1), (0, 0), (6, 1), (-14, -1), (5, 5)]","[(-12, -2), (-9, -3), (-4, -3), (2, -2), (6, -1), (9, 0), (11, 1), (10, 3), (8, 4), (-1, 6), (0, 4), (-5, 3), (-10, 1), (-13, 0), (-6, -1), (0, 0), (6, 1), (-14, -1), (5, 4)]","[(-12, -2), (-8, -3), (-3, -3), (2, -2), (6, -1), (9, 0), (11, 1), (10, 3), (8, 4), (0, 6), (0, 4), (-5, 3), (-10, 1), (-12, 0), (-6, -1), (0, 0), (6, 1), (-14, -1), (5, 4)]","[(-12, -3), (-9, -4), (-4, -3), (1, -2), (6, -1), (9, 0), (11, 1), (10, 3), (8, 4), (-1, 6), (-1, 4), (-5, 2), (-10, 0), (-13, -1), (-6, -1), (0, 0), (6, 1), (-14, -2), (4, 4)]"
8,4.95830737257814,5.836940812906567,4.931488787782336,4.818491013693186,4.931488787782336,erik.csv,False,"[(-13, -3), (-9, -3), (-4, -3), (1, -2), (6, -1), (8, 0), (10, 1), (9, 3), (7, 4), (-1, 6), (-1, 4), (-6, 2), (-11, 0), (-13, -1), (-6, -1), (0, 0), (6, 1), (-15, -2), (4, 4)]","[(-12, -3), (-9, -4), (-4, -3), (1, -2), (6, -1), (9, 0), (11, 0), (10, 2), (8, 3), (-1, 5), (-1, 3), (-5, 2), (-10, 0), (-12, -2), (-6, -2), (0, 0), (6, 1), (-14, -2), (4, 4)]","[(-13, -3), (-9, -3), (-4, -3), (1, -2), (6, -1), (9, 0), (11, 1), (10, 3), (8, 4), (0, 6), (-1, 4), (-6, 2), (-10, 0), (-13, -1), (-6, -1), (0, 0), (6, 1), (-14, -2), (4, 4)]","[(-13, -2), (-10, -3), (-4, -2), (1, -2), (5, 0), (8, 1), (10, 1), (9, 3), (7, 4), (-1, 6), (-1, 4), (-6, 3), (-11, 1), (-14, -1), (-6, -1), (0, 0), (6, 1), (-15, -1), (4, 5)]","[(-13, -2), (-10, -3), (-4, -3), (1, -2), (6, -1), (8, 0), (10, 1), (9, 3), (7, 4), (-1, 6), (-1, 4), (-6, 2), (-11, 0), (-14, -1), (-6, -1), (0, 0), (6, 1), (-15, -2), (4, 4)]"
9,4.216254916493688,4.2439512176852014,4.2439512176852014,4.881931836872052,4.818491013693186,erik.csv,False,"[(-13, -2), (-10, -3), (-4, -2), (1, -2), (5, 0), (8, 1), (10, 1), (9, 3), (7, 4), (-1, 6), (-1, 4), (-6, 3), (-11, 0), (-14, -1), (-6, -1), (0, 0), (6, 1), (-15, -1), (4, 4)]","[(-13, -3), (-10, -3), (-5, -3), (0, -2), (5, -1), (8, 0), (10, 1), (9, 3), (7, 4), (-1, 6), (-1, 4), (-6, 2), (-11, 0), (-14, -1), (-6, -1), (0, 0), (5, 1), (-15, -2), (4, 4)]","[(-13, -3), (-10, -4), (-5, -3), (1, -3), (5, -2), (8, -1), (10, 0), (9, 2), (7, 3), (-1, 6), (-1, 3), (-6, 2), (-11, 0), (-14, -1), (-6, -2), (0, 0), (6, 1), (-15, -2), (4, 4)]","[(-13, -2), (-9, -3), (-4, -3), (2, -2), (6, -1), (9, 0), (11, 1), (10, 3), (8, 4), (0, 6), (0, 4), (-5, 3), (-10, 1), (-13, -1), (-6, -1), (0, 0), (7, 1), (-14, -1), (5, 4)]","[(-13, -2), (-9, -3), (-4, -3), (1, -2), (6, -1), (9, 0), (11, 1), (10, 3), (7, 4), (0, 6), (-1, 4), (-6, 3), (-10, 1), (-13, 0), (-6, -1), (0, 0), (7, 1), (-15, -1), (4, 5)]"
