,ear1,ear2,ear3,ear4,ear5,id,piscando,pontos_olhos 1,pontos_olhos 2,pontos_olhos 3,pontos_olhos 4,pontos_olhos 5
228,34.96503496503497,34.97930349652668,33.98072198140849,34.96503496503497,24.024642572663904,bruno.csv,True,"[(-11, -2), (-8, -1), (-3, 1), (2, 2), (7, 2), (11, 2), (14, 2), (14, 3), (11, 3), (0, 6), (2, 2), (-3, 1), (-8, -1), (-11, -2), (-6, -1), (0, 0), (6, 0), (-13, -2), (7, 3)]","[(-11, -2), (-8, -1), (-3, 0), (2, 2), (7, 2), (11, 2), (14, 2), (14, 3), (11, 3), (0, 6), (2, 2), (-3, 1), (-8, 0), (-11, -2), (-6, -1), (0, 0), (6, 1), (-13, -2), (7, 3)]","[(-11, -2), (-8, -1), (-3, 0), (2, 1), (7, 2), (11, 2), (14, 2), (14, 3), (11, 3), (0, 6), (2, 2), (-3, 1), (-8, 0), (-11, -1), (-6, 0), (0, 0), (6, 1), (-13, -2), (7, 3)]","[(-11, -2), (-8, -1), (-3, 1), (2, 2), (7, 2), (11, 2), (14, 2), (14, 3), (11, 3), (0, 6), (2, 3), (-3, 2), (-8, 0), (-11, -1), (-6, 0), (0, 0), (7, 1), (-13, -2), (8, 3)]","[(-11, -2), (-8, -1), (-3, 0), (2, 2), (7, 2), (11, 2), (14, 2), (14, 3), (12, 3), (0, 5), (2, 2), (-3, 1), (-8, -1), (-11, -2), (-6, -1), (0, 0), (7, 0), (-13, -2), (8, 3)]"
229,33.96603396603397,33.96603396603397,33.98072198140849,35.0,35.0,bruno.csv,True,"[(-12, -2), (-9, -1), (-4, 1), (1, 2), (6, 2), (10, 3), (13, 3), (13, 3), (11, 3), (-1, 6), (1, 3), (-4, 1), (-9, 0), (-12, -1), (-7, -1), (0, 0), (6, 1), (-14, -2), (7, 3)]","[(-12, -2), (-9, -1), (-4, 1), (1, 2), (6, 2), (10, 3), (13, 2), (13, 3), (10, 3), (-1, 6), (1, 3), (-4, 1), (-9, 0), (-12, -1), (-6, 0), (0, 0), (6, 1), (-14, -2), (7, 3)]","[(-12, -2), (-9, -1), (-4, 1), (1, 2), (6, 3), (10, 3), (13, 3), (13, 3), (10, 3), (-1, 6), (1, 3), (-4, 2), (-9, 0), (-12, -1), (-6, 0), (0, 0), (6, 1), (-14, -2), (6, 3)]","[(-12, -2), (-9, -1), (-4, 1), (1, 2), (6, 2), (10, 3), (13, 3), (13, 3), (10, 3), (-1, 5), (1, 3), (-4, 1), (-9, 0), (-12, -1), (-6, -1), (0, 0), (6, 0), (-14, -2), (6, 3)]","[(-12, -2), (-9, -1), (-4, 0), (1, 2), (6, 2), (10, 2), (13, 3), (13, 3), (11, 3), (-1, 6), (1, 2), (-4, 1), (-9, 0), (-12, -1), (-6, -1), (0, 0), (6, 1), (-14, -2), (7, 3)]"
230,35.0,34.96503496503497,24.024642572663904,33.96603396603397,24.731249707154017,bruno.csv,True,"[(-11, -2), (-8, -1), (-3, 1), (2, 2), (7, 2), (11, 3), (14, 3), (14, 3), (11, 3), (0, 6), (2, 3), (-3, 2), (-8, 0), (-11, -1), (-6, 0), (0, 0), (7, 1), (-13, -2), (7, 3)]","[(-11, -2), (-8, -2), (-3, 0), (2, 1), (7, 2), (11, 2), (14, 2), (14, 3), (11, 3), (0, 5), (2, 2), (-3, 1), (-8, -1), (-11, -2), (-6, -1), (0, 0), (6, 0), (-13, -2), (7, 3)]","[(-11, -1), (-8, -1), (-3, 1), (2, 2), (7, 3), (11, 3), (14, 3), (14, 4), (11, 4), (0, 6), (2, 3), (-3, 2), (-8, 0), (-11, -1), (-6, 0), (0, 0), (6, 1), (-13, -1), (7, 4)]","[(-11, -2), (-8, -1), (-3, 1), (2, 2), (7, 2), (11, 3), (14, 3), (14, 3), (11, 4), (0, 6), (2, 3), (-3, 2), (-8, 0), (-11, -1), (-6, 0), (0, 0), (6, 1), (-13, -2), (7, 3)]","[(-11, -2), (-8, -1), (-3, 0), (2, 1), (7, 2), (11, 2), (14, 3), (14, 3), (11, 3), (0, 5), (2, 2), (-3, 1), (-8, 0), (-11, -1), (-6, -1), (0, 0), (7, 1), (-13, -2), (7, 3)]"
231,33.96603396603397,24.024642572663904,33.96603396603397,24.035031607775498,35.0,bruno.csv,True,"[(-12, -2), (-9, -1), (-4, 1), (1, 2), (6, 3), (10, 3), (13, 3), (13, 3), (10, 3), (-1, 6), (1, 3), (-5, 1), (-9, 0), (-12, -1), (-6, 0), (0, 0), (6, 1), (-14, -2), (6, 3)]","[(-12, -2), (-9, -1), (-4, 1), (1, 2), (6, 2), (10, 3), (13, 3), (13, 3), (10, 3), (-1, 6), (1, 2), (-4, 1), (-9, 0), (-12, -1), (-6, -1), (0, 0), (6, 1), (-14, -2), (6, 3)]","[(-13, -2), (-9, -1), (-4, 1), (1, 2), (6, 3), (10, 3), (13, 3), (13, 3), (10, 3), (-1, 6), (1, 3), (-4, 2), (-9, 0), (-12, -1), (-6, 0), (0, 0), (6, 1), (-14, -2), (6, 3)]","[(-13, -2), (-9, -1), (-4, 1), (1, 2), (6, 2), (10, 3), (13, 3), (13, 3), (10, 3), (-1, 6), (1, 2), (-4, 1), (-9, 0), (-12, -1), (-6, -1), (0, 0), (6, 1), (-14, -2), (6, 3)]","[(-12, -3), (-9, -2), (-4, 0), (1, 1), (6, 2), (10, 2), (13, 2), (13, 3), (10, 3), (0, 5), (1, 2), (-4, 1), (-9, -1), (-12, -2), (-6, -1), (0, 0), (6, 0), (-14, -3), (7, 2)]"
232,35.0,35.0,35.0,33.96603396603397,32.96703296703297,bruno.csv,True,"[(-12, -2), (-9, -1), (-4, 1), (2, 2), (7, 3), (11, 3), (14, 3), (14, 3), (11, 3), (0, 5), (2, 2), (-4, 1), (-9, 0), (-12, -1), (-6, -1), (0, 0), (7, 1), (-13, -2), (7, 3)]","[(-12, -2), (-9, -1), (-4, 0), (1, 1), (7, 2), (11, 2), (14, 3), (14, 3), (11, 3), (0, 5), (1, 2), (-4, 1), (-9, 0), (-12, -1), (-6, -1), (0, 0), (6, 0), (-14, -2), (7, 3)]","[(-12, -2), (-9, -1), (-4, 0), (1, 1), (7, 2), (11, 2), (14, 3), (14, 3), (11, 3), (0, 5), (2, 2), (-4, 1), (-8, -1), (-12, -1), (-6, -1), (0, 0), (6, 1), (-13, -2), (7, 2)]","[(-12, -2), (-9, -1), (-4, 1), (1, 2), (7, 2), (11, 3), (14, 3), (14, 3), (11, 3), (0, 6), (2, 2), (-4, 1), (-8, 0), (-12, -1), (-6, 0), (0, 0), (7, 1), (-13, -2), (7, 3)]","[(-12, -2), (-9, -1), (-4, 0), (1, 2), (7, 2), (11, 3), (13, 3), (13, 3), (11, 3), (0, 5), (1, 2), (-4, 1), (-9, 0), (-12, -1), (-6, 0), (0, 0), (6, 1), (-14, -2), (7, 3)]"
233,33.96603396603397,33.96603396603397,35.0,24.024642572663904,33.98072198140849,bruno.csv,True,"[(-13, -2), (-10, -1), (-5, 0), (0, 1), (6, 2), (10, 3), (12, 3), (12, 3), (10, 3), (0, 6), (0, 2), (-5, 1), (-10, -1), (-13, -1), (-6, 0), (0, 0), (6, 1), (-15, -2), (6, 2)]","[(-13, -2), (-10, -1), (-5, 0), (0, 1), (6, 2), (10, 2), (13, 3), (13, 3), (10, 3), (-1, 5), (0, 2), (-5, 1), (-10, -1), (-13, -2), (-7, -1), (0, 0), (6, 0), (-15, -2), (6, 2)]","[(-12, -2), (-9, -1), (-4, 0), (1, 1), (7, 2), (11, 2), (14, 3), (14, 3), (11, 3), (0, 5), (1, 2), (-4, 1), (-9, -1), (-12, -1), (-6, -1), (0, 0), (7, 1), (-14, -2), (7, 2)]","[(-13, -2), (-10, -1), (-5, 1), (0, 2), (6, 2), (10, 3), (12, 3), (12, 3), (10, 3), (-1, 6), (0, 2), (-5, 1), (-10, 0), (-13, -1), (-7, 0), (0, 0), (6, 1), (-15, -1), (6, 3)]","[(-12, -2), (-9, -1), (-4, 0), (1, 2), (7, 2), (11, 3), (13, 3), (13, 3), (11, 3), (0, 6), (1, 2), (-4, 1), (-9, 0), (-12, -1), (-6, 0), (0, 0), (7, 1), (-14, -2), (7, 3)]"
234,24.024642572663904,33.96603396603397,24.731249707154017,34.97930349652668,33.96603396603397,bruno.csv,True,"[(-12, -2), (-9, -1), (-4, 0), (1, 1), (6, 2), (11, 3), (13, 3), (13, 3), (11, 3), (0, 5), (1, 2), (-4, 1), (-9, 0), (-12, -1), (-6, -1), (0, 0), (6, 1), (-13, -1), (7, 3)]","[(-12, -2), (-9, -1), (-4, 0), (1, 1), (6, 2), (10, 3), (13, 3), (13, 3), (10, 3), (-1, 6), (1, 2), (-4, 1), (-9, 0), (-12, -1), (-6, 0), (0, 0), (6, 1), (-14, -1), (6, 3)]","[(-13, -2), (-10, -2), (-5, -1), (0, 0), (5, 1), (9, 2), (12, 2), (12, 2), (9, 2), (-1, 5), (0, 1), (-5, 0), (-9, -1), (-13, -2), (-6, -1), (0, 0), (6, 0), (-14, -2), (6, 2)]","[(-13, -3), (-9, -2), (-5, -1), (0, 0), (6, 1), (10, 2), (12, 2), (12, 2), (10, 2), (0, 5), (1, 1), (-5, 0), (-9, -1), (-12, -2), (-6, -1), (0, 0), (6, 0), (-14, -3), (6, 2)]","[(-12, -2), (-9, -2), (-4, 0), (1, 1), (6, 2), (10, 2), (13, 2), (13, 3), (11, 2), (0, 5), (1, 1), (-4, 0), (-9, -1), (-12, -2), (-6, -1), (0, 0), (6, 1), (-13, -2), (7, 2)]"
235,24.731249707154017,24.731249707154017,33.96603396603397,24.024642572663904,33.96603396603397,bruno.csv,True,"[(-12, -2), (-8, -2), (-4, 0), (1, 1), (7, 1), (11, 2), (13, 2), (13, 3), (11, 3), (0, 5), (1, 2), (-4, 1), (-8, -1), (-11, -2), (-6, -1), (0, 0), (6, 1), (-13, -2), (7, 2)]","[(-12, -2), (-9, -2), (-4, 0), (1, 1), (6, 2), (11, 2), (13, 2), (13, 3), (11, 3), (-1, 5), (1, 2), (-4, 1), (-9, -1), (-12, -2), (-6, -1), (0, 0), (6, 1), (-14, -2), (7, 2)]","[(-12, -2), (-9, -2), (-4, 0), (1, 1), (7, 2), (11, 2), (13, 2), (13, 3), (11, 2), (-1, 5), (1, 1), (-4, 1), (-9, -1), (-12, -2), (-7, -1), (0, 0), (6, 1), (-14, -2), (7, 2)]","[(-12, -3), (-9, -2), (-4, -1), (1, 1), (7, 1), (11, 2), (13, 2), (13, 2), (11, 2), (0, 5), (1, 1), (-4, 0), (-9, -1), (-12, -2), (-6, -1), (0, 0), (6, 0), (-14, -3), (7, 2)]","[(-12, -3), (-9, -2), (-4, 0), (1, 1), (6, 1), (10, 2), (13, 2), (13, 2), (10, 2), (0, 5), (1, 1), (-4, 0), (-9, -1), (-12, -2), (-6, -1), (0, 0), (6, 0), (-14, -3), (7, 2)]"
236,33.98072198140849,33.96603396603397,33.96603396603397,35.0,33.96603396603397,bruno.csv,True,"[(-12, -3), (-9, -2), (-4, -1), (1, 1), (6, 1), (10, 2), (13, 2), (13, 2), (10, 2), (-1, 5), (1, 1), (-4, 0), (-9, -1), (-12, -2), (-6, -1), (0, 0), (6, 0), (-14, -3), (6, 2)]","[(-12, -2), (-9, -1), (-4, 0), (1, 1), (6, 2), (10, 2), (13, 3), (13, 3), (10, 3), (-1, 5), (1, 2), (-4, 1), (-9, -1), (-12, -1), (-6, -1), (0, 0), (6, 1), (-14, -2), (6, 2)]","[(-13, -2), (-10, -1), (-5, 0), (0, 1), (5, 2), (9, 2), (12, 3), (12, 3), (9, 3), (-1, 6), (0, 2), (-5, 1), (-10, -1), (-13, -1), (-6, 0), (0, 0), (6, 1), (-15, -2), (6, 2)]","[(-12, -3), (-9, -2), (-4, -1), (1, 0), (6, 1), (10, 2), (13, 2), (13, 2), (10, 2), (0, 5), (1, 1), (-4, 0), (-9, -1), (-12, -2), (-6, -1), (0, 0), (7, 0), (-14, -3), (7, 2)]","[(-12, -3), (-9, -2), (-4, -1), (1, 0), (6, 1), (10, 1), (13, 2), (13, 2), (10, 2), (0, 5), (1, 1), (-4, 0), (-9, -2), (-12, -2), (-6, -1), (0, 0), (7, 0), (-14, -3), (6, 2)]"
237,35.0,33.96603396603397,34.96503496503497,34.96503496503497,24.024642572663904,bruno.csv,True,"[(-12, -2), (-9, -1), (-4, 0), (1, 1), (6, 2), (10, 2), (13, 3), (13, 3), (10, 3), (0, 6), (1, 2), (-4, 1), (-9, 0), (-12, -1), (-6, 0), (0, 0), (6, 1), (-14, -2), (6, 3)]","[(-12, -2), (-9, -2), (-4, 0), (1, 1), (6, 2), (10, 2), (13, 2), (13, 3), (10, 3), (-1, 5), (1, 2), (-4, 1), (-9, -1), (-12, -2), (-6, -1), (0, 0), (6, 1), (-14, -2), (6, 2)]","[(-13, -2), (-9, -2), (-4, 0), (1, 1), (6, 2), (10, 2), (13, 2), (13, 3), (10, 3), (-1, 5), (1, 2), (-4, 1), (-9, -1), (-12, -1), (-6, -1), (0, 0), (6, 1), (-14, -2), (6, 2)]","[(-12, -2), (-9, -1), (-4, 0), (1, 1), (6, 2), (10, 2), (13, 3), (13, 3), (10, 3), (0, 5), (1, 2), (-4, 1), (-9, 0), (-12, -1), (-6, 0), (0, 0), (6, 1), (-14, -2), (6, 2)]","[(-12, -2), (-9, -2), (-4, 0), (0, 1), (6, 2), (10, 2), (13, 2), (13, 3), (10, 2), (0, 5), (1, 1), (-4, 1), (-9, -1), (-12, -2), (-6, -1), (0, 0), (6, 1), (-14, -2), (6, 2)]"
