frame_idx,timestamp,biblioteca,abordagem,ear,fps,tempo_processamento,piscando
1,0.0777971744537353,dlib,2,0.3878219741432753,12.855670766656145,0.0777869224548339,vermelho
2,0.2754144668579101,dlib,2,0.3544995759267208,16.587127518636425,0.0602879524230957,vermelho
3,0.3683876991271972,dlib,2,0.3539593232645917,16.182602455379534,0.0617949962615966,vermelho
4,0.4324679374694824,dlib,2,0.3916459094823472,16.53755377075423,0.0604686737060546,vermelho
5,0.4962861537933349,dlib,2,0.354394179885763,16.54838493314448,0.0604290962219238,vermelho
6,0.5597319602966309,dlib,2,0.3578377339355562,16.64439373797099,0.0600805282592773,vermelho
7,0.6231169700622559,dlib,2,0.3459610622013308,16.682326924453708,0.0599439144134521,vermelho
8,0.6876204013824463,dlib,2,0.3417967509870908,16.457286353292,0.0607633590698242,vermelho
9,0.7514410018920898,dlib,2,0.3693970853163758,16.5598840813168,0.0603871345520019,vermelho
10,0.8156251907348633,dlib,2,0.3540785549041468,16.551127597024642,0.0604190826416015,vermelho
11,0.8792006969451904,dlib,2,0.3540785549041468,16.63917738441886,0.0600993633270263,vermelho
12,0.9598746299743652,dlib,2,0.3575304942220209,12.950538949149507,0.0772171020507812,vermelho
13,1.0236270427703855,dlib,2,0.3815875589636111,16.583192646041315,0.0603022575378418,vermelho
14,1.0883615016937256,dlib,2,0.3459610622013308,16.380672675862716,0.0610477924346923,vermelho
15,1.153416872024536,dlib,2,0.3459610622013308,16.541467012142938,0.0604543685913085,vermelho
16,1.2182347774505615,dlib,2,0.3579391474940428,16.69567432658894,0.0598959922790527,vermelho
17,1.2836847305297852,dlib,2,0.3579356280564978,16.553021871768763,0.0604121685028076,vermelho
18,1.3471386432647705,dlib,2,0.3459610622013308,16.687238410490636,0.0599262714385986,vermelho
19,1.4100875854492188,dlib,2,0.3418984005807097,16.76990432171573,0.0596308708190918,vermelho
20,1.473527193069458,dlib,2,0.3417967509870908,16.71603531076261,0.0598230361938476,vermelho
21,1.536578893661499,dlib,2,0.3571428571428571,16.806122530752894,0.059502363204956,vermelho
22,1.5994901657104492,dlib,2,0.3455365533716029,16.904949800694045,0.0591547489166259,vermelho
23,1.662259578704834,dlib,2,0.3662343846570902,16.91565370996233,0.0591170787811279,vermelho
24,1.7248482704162598,dlib,2,0.3662597119313769,16.976657775547128,0.0589046478271484,vermelho
25,1.7867650985717771,dlib,2,0.3661508194919459,17.162198435300663,0.0582678318023681,vermelho
26,1.8486945629119875,dlib,2,0.3658247239965059,17.178505897771952,0.0582125186920166,vermelho
27,1.9109437465667725,dlib,2,0.3539593232645917,17.073752941080688,0.0585699081420898,vermelho
28,1.9725897312164309,dlib,2,0.3539882472144451,17.177380250311252,0.0582163333892822,vermelho
29,2.034700870513916,dlib,2,0.3783169959750491,17.018262672493194,0.058760643005371,vermelho
30,2.0966837406158447,dlib,2,0.365744886820628,17.079036737220154,0.058551549911499,vermelho
31,2.159229516983032,dlib,2,0.3539593232645917,16.899841248096187,0.0591723918914794,vermelho
32,2.222154140472412,dlib,2,0.3662597119313769,16.84790982964519,0.0593547821044921,vermelho
33,2.2844390869140625,dlib,2,0.3910053546800341,17.053482415125025,0.0586392879486084,vermelho
34,2.3463051319122314,dlib,2,0.4002651809425661,17.100901870606847,0.0584766864776611,vermelho
35,2.4083380699157715,dlib,2,0.4027973947064195,17.05563213903765,0.0586318969726562,vermelho
36,2.472836971282959,dlib,2,0.3932069805467428,16.447670474375414,0.0607991218566894,vermelho
37,2.538036584854126,dlib,2,0.4038688142515084,16.21381824366899,0.061676025390625,vermelho
38,2.60188627243042,dlib,2,0.3906246285595292,16.518535730460982,0.0605382919311523,vermelho
39,2.664654493331909,dlib,2,0.3780487804878049,16.904064096983767,0.0591576099395751,vermelho
40,2.727123498916626,dlib,2,0.3248984850826399,16.93211095097956,0.0590598583221435,vermelho
41,2.789041519165039,dlib,2,0.3297795020109644,17.169575130891126,0.0582427978515625,vermelho
42,2.850926637649536,dlib,2,0.2380490665505727,17.098113392143755,0.0584862232208251,vermelho
43,2.912931442260742,dlib,2,0.2314321301386955,17.14087684310328,0.0583405494689941,vermelho
44,2.974856376647949,dlib,2,0.2624180071821322,17.1861782987982,0.0581865310668945,vermelho
45,3.03676700592041,dlib,2,0.2566294792211719,17.18540370889364,0.0581891536712646,vermelho
46,3.098549127578736,dlib,2,0.2682129170017939,17.13261496483044,0.058368444442749,vermelho
47,3.160440444946289,dlib,2,0.2566294792211719,17.21686588729804,0.0580828189849853,vermelho
48,3.222085952758789,dlib,2,0.2560214207744396,17.162338884569746,0.0582673549652099,vermelho
49,3.284026861190796,dlib,2,0.2618305574091785,17.162338884569746,0.0582671165466308,vermelho
50,3.34552001953125,dlib,2,0.2565744394443471,17.215311240446894,0.0580880641937255,vermelho
51,3.4072108268737797,dlib,2,0.2804044132291481,17.175903061872177,0.0582213401794433,vermelho
52,3.4700305461883545,dlib,2,0.2804044132291481,16.907403003124056,0.0591459274291992,vermelho
53,3.533067226409912,dlib,2,0.2563459331445006,16.85048189528068,0.0593457221984863,vermelho
54,3.5952043533325195,dlib,2,0.2754338725944363,17.091564045932795,0.0585086345672607,vermelho
55,3.6571531295776367,dlib,2,0.2801546838521052,17.079245375215308,0.0585510730743408,vermelho
56,3.719024896621704,dlib,2,0.2304663838792127,17.19033410931506,0.0581724643707275,vermelho
57,3.7809243202209473,dlib,2,0.2053198222464564,17.195831317595545,0.0581536293029785,vermelho
58,3.8426973819732666,dlib,2,0.2175812210739253,17.133454792036012,0.0583655834197998,vermelho
59,3.904381275177002,dlib,2,0.1798669394566333,17.15686306592274,0.0582859516143798,vermelho
60,3.96584677696228,dlib,2,0.2696551322172109,17.221531513036336,0.0580668449401855,vermelho
61,4.02990984916687,dlib,2,0.3284726220385365,16.482249660083152,0.060671329498291,vermelho
62,4.092292785644531,dlib,2,0.3546290555499846,16.94606660767891,0.0590109825134277,vermelho
63,4.155424118041992,dlib,2,0.3455901909365782,16.81973629334959,0.0594542026519775,vermelho
64,4.218255996704102,dlib,2,0.3716727114919866,16.814611696412822,0.0594723224639892,vermelho
65,4.280725717544556,dlib,2,0.3579169947954395,16.957096883742743,0.0589725971221923,vermelho
66,4.343377590179443,dlib,2,0.3579169947954395,16.869322500854665,0.0592796802520751,vermelho
67,4.405308961868286,dlib,2,0.3416324152979639,17.160021765545796,0.0582749843597412,vermelho
68,4.467674970626831,dlib,2,0.3579169947954395,17.04232642994421,0.0586776733398437,vermelho
69,4.530176877975464,dlib,2,0.3672782652933831,16.994197919030178,0.0588438510894775,vermelho
70,4.59238600730896,dlib,2,0.3717332682453916,17.125200065327455,0.0583937168121337,vermelho
71,4.654752731323242,dlib,2,0.3841106397986879,17.042603420463458,0.0586767196655273,vermelho
72,4.716357231140137,dlib,2,0.359313553761575,17.201614226188525,0.0581343173980712,vermelho
73,4.778272390365601,dlib,2,0.3717636446013819,17.07430897618563,0.0585677623748779,vermelho
74,4.840113639831543,dlib,2,0.3841106397986879,17.173511962035942,0.0582294464111328,vermelho
75,4.9018874168396,dlib,2,0.3716727114919866,17.139405926028843,0.0583453178405761,vermelho
76,4.9634974002838135,dlib,2,0.3745321270791917,17.171332421743866,0.0582368373870849,vermelho
77,5.0263752937316895,dlib,2,0.3620477228432187,16.91483509836026,0.0591199398040771,vermelho
78,5.088926792144775,dlib,2,0.3873789629831476,16.898275243846918,0.0591778755187988,vermelho
79,5.152084112167358,dlib,2,0.374882867403046,16.836480411046885,0.0593950748443603,vermelho
80,5.213870286941528,dlib,2,0.3845369562386811,17.228463927180716,0.0580437183380126,vermelho
81,5.2759690284729,dlib,2,0.3499089822166943,17.11018010484019,0.0584449768066406,vermelho
82,5.338225603103638,dlib,2,0.384489011888262,17.11108754008208,0.0584418773651123,vermelho
83,5.400097608566284,dlib,2,0.3745321270791917,17.17027800406915,0.0582404136657714,vermelho
84,5.462538480758667,dlib,2,0.3495633186072456,16.94360217334222,0.0590195655822753,vermelho
85,5.5248870849609375,dlib,2,0.3877950377097667,17.02828097469084,0.0587260723114013,vermelho
86,5.587068557739258,dlib,2,0.3725565905451856,17.11297252085926,0.0584354400634765,vermelho
87,5.648667097091675,dlib,2,0.3841106397986879,17.177380250311252,0.0582163333892822,vermelho
88,5.710103511810303,dlib,2,0.3973140530655204,17.22591667761861,0.0580523014068603,vermelho
89,5.771746397018433,dlib,2,0.3874322167623661,17.170488877244406,0.058239459991455,vermelho
90,5.8339033126831055,dlib,2,0.3841106397986879,17.021439615604695,0.0587496757507324,vermelho
91,5.895951747894287,dlib,2,0.3713069518053983,17.13793526138156,0.0583503246307373,vermelho
92,5.958369970321655,dlib,2,0.3716727114919866,17.03201494355559,0.0587131977081298,vermelho
93,6.019748210906982,dlib,2,0.3713069518053983,17.24908188401923,0.0579743385314941,vermelho
94,6.081758975982666,dlib,2,0.3713069518053983,17.115975384816284,0.0584251880645751,vermelho
95,6.145173788070679,dlib,2,0.3841106397986879,16.664695972791712,0.0600075721740722,vermelho
96,6.208707809448242,dlib,2,0.374882867403046,16.6267110119201,0.0601441860198974,vermelho
97,6.271997690200806,dlib,2,0.3873789629831476,16.664364920756636,0.0600085258483886,verde
98,6.334785223007202,dlib,2,0.3973053122845374,16.924527083736844,0.0590860843658447,verde
99,6.3970324993133545,dlib,2,0.3973140530655204,17.082793001205566,0.0585389137268066,verde
100,6.460006952285767,dlib,2,0.3456995758188191,16.867355145899687,0.05928635597229,verde
101,6.522048473358154,dlib,2,0.2283989163326951,17.140036288147506,0.0583431720733642,verde
102,6.58423638343811,dlib,2,0.2183117104640899,17.008876903424643,0.058793306350708,verde
103,6.647375583648682,dlib,2,0.223179914757268,16.82817170391947,0.0594244003295898,verde
104,6.709847688674927,dlib,2,0.2053198222464564,16.91319811282713,0.0591256618499755,verde
105,6.7720489501953125,dlib,2,0.2109989287773885,16.993647089329702,0.0588455200195312,verde
106,6.834238290786743,dlib,2,0.210184248906737,17.07688110971325,0.0585591793060302,verde
107,6.895914793014526,dlib,2,0.2040577309971389,17.15805621576512,0.0582821369171142,verde
108,6.958038330078125,dlib,2,0.2115065742959448,17.108993603968152,0.0584497451782226,verde
109,7.019899129867554,dlib,2,0.2109989287773885,17.19808759974086,0.0581462383270263,verde
110,7.081758499145508,dlib,2,0.2245335066157793,17.102505657607697,0.0584712028503418,verde
111,7.144012689590454,dlib,2,0.2109989287773885,16.994748784440844,0.0588419437408447,verde
112,7.206091403961182,dlib,2,0.1925370724323336,17.163883978262295,0.0582621097564697,verde
113,7.269519567489624,dlib,2,0.2048517419255635,16.66204792474417,0.0600168704986572,verde
114,7.332414627075195,dlib,2,0.2130121229081225,16.789909171333527,0.0595598220825195,verde
115,7.394827842712402,dlib,2,0.2005561574153925,16.93402507216828,0.0590529441833496,verde
116,7.456881523132324,dlib,2,0.2191689586984792,17.16683447525028,0.0582520961761474,verde
117,7.519862651824951,dlib,2,0.2238070152779884,17.002051124064632,0.0588166713714599,verde
118,7.583145380020142,dlib,2,0.2181025720605793,16.763804956035173,0.05965256690979,verde
119,7.646054983139038,dlib,2,0.2180147212043195,16.8548833022568,0.0593302249908447,verde
120,7.708528518676758,dlib,2,0.224719276247515,16.908698035927372,0.0591413974761962,verde
121,7.771000623703003,dlib,2,0.2129263224647147,16.904132224743375,0.059157371520996,verde
122,7.8340699672698975,dlib,2,0.2053198222464564,16.848451251893003,0.0593526363372802,verde
123,7.895766496658325,dlib,2,0.2119048533512969,17.233560686991535,0.0580265522003173,verde
